fecha,CODRUTA,NCOORD,TAREA_CERRADA,HMIN,HMAX,OPCIONES,KM_REPARTO,TIME_REPARTO,KM_REGRESO,TIME_REGRESO
"2021-07-15 00:00:00",5111,569,0,"2021-07-15 05:07:00","2021-07-15 09:32:00",2,40.15,168,5.75,12
"2021-07-15 00:00:00",5112,393,0,"2021-07-15 04:18:00","2021-07-15 08:14:00",2,28.6,168,1.29,5
"2021-07-15 00:00:00",5114,454,0,"2021-07-15 04:58:00","2021-07-15 08:40:00",2,36.4,168,7.61,12
"2021-07-15 00:00:00",5201,509,0,"2021-07-15 03:47:00","2021-07-15 07:20:00",2,35.56,168,9.96,13
"2021-07-15 00:00:00",5301,781,0,"2021-07-15 03:31:00","2021-07-15 06:51:00",2,34.65,168,21.32,26
"2021-07-15 00:00:00",5401,456,0,"2021-07-15 03:26:00","2021-07-15 08:08:00",2,21.61,168,12.29,20
"2021-07-15 00:00:00",5502,236,0,"2021-07-15 05:15:00","2021-07-15 07:20:00",2,16.79,168,2.08,7
"2021-07-15 00:00:00",5503,420,0,"2021-07-15 03:25:00","2021-07-15 06:44:00",2,38.79,168,20.38,20
"2021-07-15 00:00:00",5602,727,0,"2021-07-15 03:36:00","2021-07-15 07:41:00",2,20.04,168,13.21,22
"2021-07-15 00:00:00",5801,356,0,"2021-07-15 03:56:00","2021-07-15 07:08:00",2,28.15,168,10.43,16
"2021-07-15 00:00:00",6305,428,0,"2021-07-15 03:47:00","2021-07-15 06:46:00",2,45.69,168,25.97,27
"2021-07-15 00:00:00",6507,265,0,"2021-07-15 04:19:00","2021-07-15 06:56:00",2,36.02,168,10.96,18
"2021-07-15 00:00:00",7001,515,0,"2021-07-15 05:23:00","2021-07-15 10:14:00",2,44.16,168,8.89,14
"2021-07-15 00:00:00",7004,898,0,"2021-07-15 05:35:00","2021-07-15 09:50:00",2,51.38,168,4.04,14
"2021-07-15 00:00:00",7204,203,0,"2021-07-15 04:56:00","2021-07-15 06:27:00",2,26.04,168,6.67,9
"2021-07-15 00:00:00",7402,400,0,"2021-07-15 04:15:00","2021-07-15 07:30:00",2,29.47,168,12.39,12
"2021-07-15 00:00:00",7404,409,0,"2021-07-15 04:11:00","2021-07-15 06:06:00",2,26.75,168,17.84,26
"2021-07-16 00:00:00",2517,321,0,"2021-07-16 07:49:00","2021-07-16 09:41:00",2,66.89,168,56.19,52
"2021-07-16 00:00:00",3041,1079,0,"2021-07-16 04:27:00","2021-07-16 10:38:00",2,74.54,168,29.34,30
"2021-07-16 00:00:00",3065,361,0,"2021-07-16 05:22:00","2021-07-16 07:53:00",2,43.52,168,7.21,14
"2021-07-16 00:00:00",3066,431,0,"2021-07-16 04:32:00","2021-07-16 07:39:00",2,38.55,168,9.28,10
"2021-07-16 00:00:00",3093,651,0,"2021-07-16 05:50:00","2021-07-16 09:27:00",2,32.07,168,0.75,2
"2021-07-16 00:00:00",3095,558,0,"2021-07-16 05:50:00","2021-07-16 08:59:00",2,26.01,168,1.65,6
"2021-07-16 00:00:00",3601,253,0,"2021-07-16 03:49:00","2021-07-16 06:12:00",2,38.6,168,17.33,22
"2021-07-16 00:00:00",3602,209,0,"2021-07-16 04:01:00","2021-07-16 06:24:00",2,29.62,168,17.81,23
"2021-07-16 00:00:00",3603,612,0,"2021-07-16 04:14:00","2021-07-16 05:39:00",2,22.43,168,8.18,15
"2021-07-16 00:00:00",3605,129,0,"2021-07-16 03:56:00","2021-07-16 05:10:00",2,19.3,168,11.72,13
"2021-07-16 00:00:00",3608,730,0,"2021-07-16 03:50:00","2021-07-16 05:13:00",2,25.24,168,7.41,12
"2021-07-16 00:00:00",3609,205,0,"2021-07-16 03:55:00","2021-07-16 05:34:00",2,31.8,168,9.98,18
"2021-07-16 00:00:00",4000,401,0,"2021-07-16 03:00:00","2021-07-16 07:37:00",2,156.88,168,80.74,66
"2021-07-16 00:00:00",4001,323,0,"2021-07-16 04:01:00","2021-07-16 07:40:00",2,103.78,168,90.09,72
"2021-07-16 00:00:00",4002,603,0,"2021-07-16 04:00:00","2021-07-16 08:26:00",2,148.97,168,71.37,58
"2021-07-16 00:00:00",4105,667,0,"2021-07-16 04:14:00","2021-07-16 08:58:00",2,227.62,168,117.01,77
"2021-07-16 00:00:00",4201,690,0,"2021-07-16 04:18:00","2021-07-16 08:16:00",2,146.56,168,73.85,55
"2021-07-16 00:00:00",4206,579,0,"2021-07-16 04:19:00","2021-07-16 09:03:00",2,118.05,168,77.43,57
"2021-07-16 00:00:00",4303,1198,0,"2021-07-16 05:25:00","2021-07-16 08:19:00",2,47.96,168,10.01,14
"2021-07-16 00:00:00",4401,397,0,"2021-07-16 04:14:00","2021-07-16 08:16:00",2,89.37,168,58.68,56
"2021-07-16 00:00:00",4501,635,0,"2021-07-16 04:17:00","2021-07-16 08:01:00",2,94.55,168,78.05,59
"2021-07-16 00:00:00",4509,451,0,"2021-07-16 04:01:00","2021-07-16 07:11:00",2,83.61,168,28.86,27
"2021-07-16 00:00:00",4512,358,0,"2021-07-16 05:28:00","2021-07-16 09:23:00",2,54.62,168,32.04,24
"2021-07-16 00:00:00",4513,117,0,"2021-07-16 05:44:00","2021-07-16 09:07:00",2,31.48,168,8.69,14
"2021-07-16 00:00:00",4514,639,0,"2021-07-16 05:24:00","2021-07-16 09:08:00",2,56.5,168,4.96,8
"2021-07-16 00:00:00",4603,682,0,"2021-07-16 04:55:00","2021-07-16 08:54:00",2,77.93,168,32.91,29
"2021-07-16 00:00:00",4701,757,0,"2021-07-16 04:30:00","2021-07-16 08:20:00",2,80,168,11.21,14
"2021-07-16 00:00:00",4715,363,0,"2021-07-16 04:27:00","2021-07-16 07:21:00",2,22.08,168,3.52,5
"2021-07-16 00:00:00",4716,466,0,"2021-07-16 04:14:00","2021-07-16 07:54:00",2,43.58,168,15.1,15
"2021-07-16 00:00:00",4717,539,0,"2021-07-16 03:53:00","2021-07-16 07:37:00",2,64.49,168,18.98,17
"2021-07-16 00:00:00",4718,443,0,"2021-07-16 04:26:00","2021-07-16 08:37:00",2,47.52,168,13.79,15
"2021-07-16 00:00:00",4816,638,0,"2021-07-16 04:28:00","2021-07-16 08:57:00",2,67.59,168,10.49,12
"2021-07-16 00:00:00",4818,473,0,"2021-07-16 04:08:00","2021-07-16 08:00:00",2,58.87,168,33.68,34
"2021-07-16 00:00:00",4903,445,0,"2021-07-16 04:12:00","2021-07-16 09:11:00",2,61.31,168,55.36,61
"2021-07-16 00:00:00",5001,520,0,"2021-07-16 04:25:00","2021-07-16 09:03:00",2,22.7,168,11.65,21
"2021-07-16 00:00:00",5112,356,0,"2021-07-16 04:40:00","2021-07-16 08:34:00",2,26.65,168,1.82,7
"2021-07-16 00:00:00",5114,424,0,"2021-07-16 04:58:00","2021-07-16 08:23:00",2,35.48,168,7.76,12
"2021-07-16 00:00:00",5201,786,0,"2021-07-16 04:03:00","2021-07-16 07:57:00",2,34.84,168,9.61,15
"2021-07-16 00:00:00",5301,537,0,"2021-07-16 04:01:00","2021-07-16 05:59:00",2,34.45,168,21.34,26
"2021-07-16 00:00:00",5401,459,0,"2021-07-16 04:05:00","2021-07-16 08:11:00",2,19.3,168,12.81,24
"2021-07-16 00:00:00",5502,462,0,"2021-07-16 04:01:00","2021-07-16 07:41:00",2,25.29,168,13.17,23
"2021-07-16 00:00:00",5503,510,0,"2021-07-16 03:45:00","2021-07-16 06:22:00",2,31.61,168,14.33,26
"2021-07-16 00:00:00",5602,860,0,"2021-07-16 04:01:00","2021-07-16 07:55:00",2,21.55,168,12.68,22
"2021-07-16 00:00:00",5801,435,0,"2021-07-16 04:24:00","2021-07-16 07:02:00",2,20.93,168,8.9,14
"2021-07-16 00:00:00",6202,434,0,"2021-07-16 04:31:00","2021-07-16 08:03:00",2,29.16,168,11.52,18
"2021-07-16 00:00:00",6305,693,0,"2021-07-16 04:16:00","2021-07-16 07:36:00",2,49.43,168,25.92,27
"2021-07-16 00:00:00",6707,554,0,"2021-07-16 04:28:00","2021-07-16 07:08:00",2,25.68,168,9.84,19
"2021-07-16 00:00:00",6805,342,0,"2021-07-16 04:08:00","2021-07-16 07:28:00",2,22.67,168,10.01,18
"2021-07-16 00:00:00",7001,549,0,"2021-07-16 05:39:00","2021-07-16 09:59:00",2,45.03,168,9.22,15
"2021-07-16 00:00:00",7003,730,0,"2021-07-16 05:36:00","2021-07-16 09:06:00",2,38.64,168,10.44,15
"2021-07-16 00:00:00",7204,293,0,"2021-07-16 05:14:00","2021-07-16 07:24:00",2,23.76,168,7.57,12
"2021-07-16 00:00:00",7402,759,0,"2021-07-16 04:23:00","2021-07-16 07:33:00",2,27.64,168,13.86,16
"2021-07-16 00:00:00",7704,334,0,"2021-07-16 04:10:00","2021-07-16 07:36:00",2,20.76,168,12.29,16
"2021-07-17 00:00:00",1903,895,0,"2021-07-17 08:00:00","2021-07-17 11:35:00",2,39.27,168,3.43,5
"2021-07-17 00:00:00",1904,256,0,"2021-07-17 03:52:00","2021-07-17 05:32:00",2,34.9,168,9.94,18
"2021-07-17 00:00:00",2517,247,0,"2021-07-17 07:54:00","2021-07-17 09:28:00",2,66.03,168,56.14,52
"2021-07-17 00:00:00",3030,405,0,"2021-07-17 04:53:00","2021-07-17 08:27:00",2,79.47,168,40.87,31
"2021-07-17 00:00:00",3041,1155,0,"2021-07-17 04:45:00","2021-07-17 10:19:00",2,79.65,168,23.84,22
"2021-07-17 00:00:00",3064,434,0,"2021-07-17 05:02:00","2021-07-17 09:46:00",2,46.53,168,15.97,22
"2021-07-17 00:00:00",3065,345,0,"2021-07-17 06:14:00","2021-07-17 08:44:00",2,39.04,168,6.88,13
"2021-07-17 00:00:00",3066,505,0,"2021-07-17 04:31:00","2021-07-17 08:33:00",2,44.62,168,12.64,12
"2021-07-17 00:00:00",3092,444,0,"2021-07-17 05:39:00","2021-07-17 09:32:00",2,29.7,168,1.86,8
"2021-07-17 00:00:00",3095,498,0,"2021-07-17 06:46:00","2021-07-17 08:58:00",2,20.25,168,1.61,5
"2021-07-17 00:00:00",3097,354,0,"2021-07-17 05:50:00","2021-07-17 08:12:00",2,59.5,168,26.1,24
"2021-07-17 00:00:00",3603,895,0,"2021-07-17 03:54:00","2021-07-17 04:59:00",2,16.8,168,12.82,23
"2021-07-17 00:00:00",3608,251,0,"2021-07-17 03:45:00","2021-07-17 05:01:00",2,24.27,168,7.08,16
"2021-07-17 00:00:00",4002,549,0,"2021-07-17 03:59:00","2021-07-17 08:30:00",2,146.33,168,71.19,57
"2021-07-17 00:00:00",4003,851,0,"2021-07-17 04:10:00","2021-07-17 09:57:00",2,144,168,65.14,49
"2021-07-17 00:00:00",4106,705,0,"2021-07-17 04:05:00","2021-07-17 08:39:00",2,211.98,168,118.66,82
"2021-07-17 00:00:00",4201,779,0,"2021-07-17 04:24:00","2021-07-17 08:27:00",2,179.43,168,51.34,38
"2021-07-17 00:00:00",4204,16723,0,"2021-07-17 04:57:00","2021-07-17 07:21:00",2,111.33,168,73.5,64
"2021-07-17 00:00:00",4206,546,0,"2021-07-17 04:14:00","2021-07-17 08:56:00",2,129.59,168,57.31,38
"2021-07-17 00:00:00",4401,395,0,"2021-07-17 04:00:00","2021-07-17 08:00:00",2,81.7,168,58.69,56
"2021-07-17 00:00:00",4501,571,0,"2021-07-17 04:10:00","2021-07-17 09:20:00",2,118.66,168,63.94,48
"2021-07-17 00:00:00",4505,375,0,"2021-07-17 04:13:00","2021-07-17 07:46:00",2,66.47,168,41.44,35
"2021-07-17 00:00:00",4512,454,0,"2021-07-17 05:46:00","2021-07-17 09:50:00",2,58.13,168,31.86,24
"2021-07-17 00:00:00",4513,438,0,"2021-07-17 04:22:00","2021-07-17 09:21:00",2,79.57,168,31.18,26
"2021-07-17 00:00:00",4514,579,0,"2021-07-17 05:37:00","2021-07-17 09:35:00",2,58.8,168,4.77,7
"2021-07-17 00:00:00",4517,1054,0,"2021-07-17 04:58:00","2021-07-17 09:41:00",2,47.36,168,13.86,20
"2021-07-17 00:00:00",4603,591,0,"2021-07-17 04:46:00","2021-07-17 08:03:00",2,77.02,168,24.97,20
"2021-07-17 00:00:00",4605,565,0,"2021-07-17 04:34:00","2021-07-17 08:29:00",2,39.01,168,3.51,5
"2021-07-17 00:00:00",4715,276,0,"2021-07-17 04:33:00","2021-07-17 06:48:00",2,19.19,168,2.9,4
"2021-07-17 00:00:00",4716,418,0,"2021-07-17 04:18:00","2021-07-17 07:59:00",2,42.65,168,14.94,16
"2021-07-17 00:00:00",4717,536,0,"2021-07-17 03:57:00","2021-07-17 07:43:00",2,57.34,168,14.86,13
"2021-07-17 00:00:00",4718,474,0,"2021-07-17 04:29:00","2021-07-17 09:21:00",2,46.36,168,13.96,16
"2021-07-17 00:00:00",4802,328,0,"2021-07-17 03:45:00","2021-07-17 07:30:00",2,40.39,168,18.24,16
"2021-07-17 00:00:00",4816,617,0,"2021-07-17 04:32:00","2021-07-17 09:37:00",2,71.19,168,16.32,16
"2021-07-17 00:00:00",4817,495,0,"2021-07-17 05:08:00","2021-07-17 08:11:00",2,39.95,168,13.51,14
"2021-07-17 00:00:00",4818,472,0,"2021-07-17 04:09:00","2021-07-17 07:50:00",2,58.16,168,33.09,27
"2021-07-17 00:00:00",5001,286,0,"2021-07-17 04:42:00","2021-07-17 08:04:00",2,20.08,168,7.81,11
"2021-07-17 00:00:00",5111,860,0,"2021-07-17 05:20:00","2021-07-17 10:09:00",2,31.59,168,6.18,13
